varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
61966,F1C062,N,12,Cont,XF1C062,Student services - Salaries and wages
61971,F1C063,N,12,Cont,XF1C063,Student services - Employee fringe benefits
65056,F1C066,N,12,Cont,XF1C066,Student services - Operations and maintenance of plant
61976,F1C064,N,12,Cont,XF1C064,Student services - Depreciation
65057,F1C067,N,12,Cont,XF1C067,Student services - Interest
61981,F1C065,N,12,Cont,XF1C065,Student services - All other
61986,F1C071,N,12,Cont,XF1C071,Institutional support - Current year total
61991,F1C072,N,12,Cont,XF1C072,Institutional support - Salaries and wages
61996,F1C073,N,12,Cont,XF1C073,Institutional support - Employee fringe benefits
65061,F1C076,N,12,Cont,XF1C076,Institutional support - Operations and maintenance of plant
62001,F1C074,N,12,Cont,XF1C074,Institutional support - Depreciation
65062,F1C077,N,12,Cont,XF1C077,Institutional support - Interest
62006,F1C075,N,12,Cont,XF1C075,Institutional support - All other
62011,F1C081,N,12,Cont,XF1C081,Operation  maintenance of plant - Current year total
62016,F1C082,N,12,Cont,XF1C082,Operation  maintenance of plant - Salaries and wages
62021,F1C083,N,12,Cont,XF1C083,Operation  maintenance of plant - Employee fringe benefits
65066,F1C086,N,12,Cont,XF1C086,Operation maintenance of plant - Operation and maintenance of plant
62026,F1C084,N,12,Cont,XF1C084,Operation  maintenance of plant - Depreciation
65067,F1C087,N,12,Cont,XF1C087,Operation maintenance of plant - Interest
62031,F1C085,N,12,Cont,XF1C085,Operation  maintenance of plant - All other
62046,F1C101,N,12,Cont,XF1C101,Scholarships and fellowships expenses -- Current year total
62066,F1C105,N,12,Cont,XF1C105,Scholarships and fellowships expenses -- All other
62071,F1C111,N,12,Cont,XF1C111,Auxiliary enterprises -- Current year total
62076,F1C112,N,12,Cont,XF1C112,Auxiliary enterprises -- Salaries and wages
62081,F1C113,N,12,Cont,XF1C113,Auxiliary enterprises -- Employee fringe benefits
65071,F1C116,N,12,Cont,XF1C116,Auxiliary enterprises -  Operations and maintenance of plant
62086,F1C114,N,12,Cont,XF1C114,Auxiliary enterprises -- Depreciation
65072,F1C117,N,12,Cont,XF1C117,Auxiliary enterprises - Interest
62091,F1C115,N,12,Cont,XF1C115,Auxiliary enterprises -- All other
62096,F1C121,N,12,Cont,XF1C121,Hospital services - Current year total
62101,F1C122,N,12,Cont,XF1C122,Hospital services - Salaries and wages
62106,F1C123,N,12,Cont,XF1C123,Hospital services - Employee fringe benefits
65076,F1C126,N,12,Cont,XF1C126,Hospital services -  Operations and maintenance of plant
62111,F1C124,N,12,Cont,XF1C124,Hospital services - Depreciation
65077,F1C127,N,12,Cont,XF1C127,Hospital services - Interest
62116,F1C125,N,12,Cont,XF1C125,Hospital services - All other
62121,F1C131,N,12,Cont,XF1C131,Independent operations - Current year total
62126,F1C132,N,12,Cont,XF1C132,Independent operations - Salaries and wages
62131,F1C133,N,12,Cont,XF1C133,Independent operations - Employee fringe benefits
65081,F1C136,N,12,Cont,XF1C136,Independent operations -  Operations and maintenance of plant
62136,F1C134,N,12,Cont,XF1C134,Independent operations - Depreciation
65082,F1C137,N,12,Cont,XF1C137,Independent operations - Interest
62141,F1C135,N,12,Cont,XF1C135,Independent operations - All other
62146,F1C141,N,12,Cont,XF1C141,Other expenses  deductions - Current year total
62151,F1C142,N,12,Cont,XF1C142,Other expenses  deductions - Salaries and wages
62156,F1C143,N,12,Cont,XF1C143,Other expenses  deductions - Employee fringe benefits
65086,F1C146,N,12,Cont,XF1C146,Other expenses deductions -  Operations and maintenance of plant
62161,F1C144,N,12,Cont,XF1C144,Other expenses  deductions - Depreciation
65087,F1C147,N,12,Cont,XF1C147,Other expenses deductions - Interest
62166,F1C145,N,12,Cont,XF1C145,Other expenses  deductions - All other
62256,F1C191,N,12,Cont,XF1C191,Total expenses  deductions - Current year total
62261,F1C192,N,12,Cont,XF1C192,Total expenses  deductions - Salaries and wages
62266,F1C193,N,12,Cont,XF1C193,Total expenses  deductions - Employee fringe benefits
62268,F1C196,N,12,Cont,XF1C196,Total expenses deductions - Operations and maintenance of plant
62271,F1C194,N,12,Cont,XF1C194,Total expenses  deductions - Depreciation
65088,F1C197,N,12,Cont,XF1C197,Total expenses deductions - Interest
62276,F1C195,N,12,Cont,XF1C195,Total expenses  deductions - All other
62281,F1D01,N,12,Cont,XF1D01,Total revenues and other additions
62286,F1D02,N,12,Cont,XF1D02,Total expenses and other deductions
62291,F1D03,N,12,Cont,XF1D03,Increase in net assets during the year
62296,F1D04,N,12,Cont,XF1D04,Net assets beginning of year
62301,F1D05,N,12,Cont,XF1D05,Adjustments to beginning net assets
62306,F1D06,N,12,Cont,XF1D06,Net assets end of year
62321,F1E01,N,12,Cont,XF1E01,Pell grants (federal)
62326,F1E02,N,12,Cont,XF1E02,Other federal grants
62331,F1E03,N,12,Cont,XF1E03,Grants by state government
62336,F1E04,N,12,Cont,XF1E04,Grants by local government
62341,F1E05,N,12,Cont,XF1E05,Institutional grants from restricted resources
62346,F1E06,N,12,Cont,XF1E06,Institutional grants from unrestricted resources
62351,F1E07,N,12,Cont,XF1E07,Total gross scholarships and fellowships
62356,F1E08,N,12,Cont,XF1E08,Discounts and allowances applied to tuition and fees
62361,F1E09,N,12,Cont,XF1E09,Discounts and allowances applied to sales & services of auxiliary enterprises
62366,F1E10,N,12,Cont,XF1E10,Total discounts and allowances
62371,F1E11,N,12,Cont,XF1E11,Net scholarships and fellowship expenses
62376,F1FHA,N,2,Disc,,Does this institution or any of its foundations or other affiliated organizations own endowment assets ?
62311,F1H01,N,12,Cont,XF1H01,Value of endowment assets at the beginning of the fiscal year
62316,F1H02,N,12,Cont,XF1H02,Value of endowment assets at the end of the fiscal year
